BGGId,Name,Description,YearPublished,GameWeight,AvgRating,BayesAvgRating,StdDev,MinPlayers,MaxPlayers,ComAgeRec,LanguageEase,Kickstarted,ImagePath,Rank:boardgame,Rank:strategygames,Rank:abstracts,Rank:familygames,Rank:thematic,Rank:cgs,Rank:wargames,Rank:partygames,Rank:childrensgames,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
704,Montgolfiere,player try fly balloon high possible equip ballast dump right opportunity grappling hook link balloon soporific gas knock balloon super motor player use temp card reverse game playextrapolate ballone game player start identical set card choose random subset add card turn high card play likely interesting play grapple balloon soporific gas low balloon storm defeat leader especially interesting compete nonplayer black baron know win game time time play randomly,1992,1.2206,5.84796,5.58023,1.37368,2,6,4,101,0,https://cf.geekdo-images.com/Np-nh9PfmP9InyO7Eyunsg__original/img/3yHsyffwPVSLC8vgQMLeZESywJo=/0x0/filters:format(jpeg)/pic11206.jpg,8312,21926,21926,1730,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
705,Caesar in Gallia: Conquest on the Ancient Frontier,caesar gallia player wargame cover julius caesar conquest gaul game strategic scale unit represent roman legion fleets barbarian warbands ally troop mapsheet overlay hexagonal grid cover area correspond approximately britain france belgium switzerland spain part africa   offboard box represent italian homelandgame component consist mapsheet counter rule game chart,1993,3.0667,6.90565,5.54775,1.14969,2,2,12,68,0,https://cf.geekdo-images.com/86U20Rjl-_QBmzoJ1kqHRA__original/img/ikzztkszKbF6ggM66rnGtF6VaGw=/0x0/filters:format(jpeg)/pic477919.jpg,10620,21926,21926,21926,21926,21926,1826,21926,21926,0,0,1,0,0,0,0,0
706,Frederick the Great: The Campaigns of The Soldier King,frederick great operational level wargame seven year war frederick great prussia ally hanover antiprussian coalition consist france austria russia host european countriesthere seven scenario cover year campaigningthe game consist map cover central europe rule counter depict important leader generic strength point represent army,1975,2.7042,6.9556,5.77725,1.37022,2,4,11,12.5,0,https://cf.geekdo-images.com/2QESa6Jbc-__X3JxH4kjIQ__original/img/mchbJYge6mePJKErg3NC-RQ6bL8=/0x0/filters:format(jpeg)/pic244500.jpg,4054,21926,21926,21926,21926,21926,522,21926,21926,0,0,1,0,0,0,0,0
707,When Tigers Fight,tiger fight war asia   strategic level wargame battle fight chinese stage world war   map cover large portion mainland china part burmagame scaleturn   monthmap   mile    km hexunit regiment armygame contentsone   x quot maptwo countersheet   quot dualside print counter    errata gamesone   page rulebookone player aid card side,1994,3,6.18222,5.53095,1.66295,2,2,,,0,https://cf.geekdo-images.com/qOp3p2mk2JvnOuTjy9PZTw__original/img/OOCJ84v0MYRP6ZL4AZz900d2q70=/0x0/filters:format(jpeg)/pic55396.jpg,12730,21926,21926,21926,21926,21926,2494,21926,21926,0,0,1,0,0,0,0,0
708,Holy War: Afghanistan,quotholy war afghanistanquot twoplayer wargame cover war afghanistan communist regime support soviet troop equipment afghan resistance game strategic scale unit represent division brigade aspect war cover game include conventional guerilla warfare politic possibility foreign interventionthe game include campaign short scenario game component include quot quot map   unit counter rule booklet,1991,3.1765,6.23187,5.53632,1.48885,2,2,16,13,0,https://cf.geekdo-images.com/IdLiwdKpEzuvAn918I_i5g__original/img/vkZlMmI4IMLlMzwnZ2gkoh6V1cY=/0x0/filters:format(jpeg)/pic478683.jpg,11954,21926,21926,21926,21926,21926,2324,21926,21926,0,0,1,0,0,0,0,0
709,Dragons of Glory,dragon glory simple wargame set fantasy world dragonlance fantasy series   player role evil dragon highlord try conquer nation ansalon whitestone force try stop dragon highlords   game consist scenario campaign gamethe game system build standard wargame hexgrid overlaid mapsheet counter represent army fleet side leader lead combat chart   turn sequence standard youmoveimove kind   interesting thing game player start minimal force whitestone player actually start try activate allied nation game progressesgame component consist mapsheet depict continent ansalon fantasy world krynn counter   rule numerous chart,1986,2.5714,6.25882,5.52984,1.22412,2,2,12,,0,https://cf.geekdo-images.com/PwLc1tlk7Nt_PvN4SVtKNw__original/img/-KKhMOomh4aOrNRFF3cNPgmreVE=/0x0/filters:format(jpeg)/pic19690.jpg,12900,21926,21926,21926,21926,21926,2508,21926,21926,0,0,1,0,0,0,0,0
710,Snit's Revenge!,player assume role single bolotomus fight infestation snit   player command snit onslaught attempt ravage bolotomuss internal organ battle bolotomus immune system snit bolotumus player control immobile snorg organ mobile runnungitms attack snit plus makum add runnungitms replace lose snorgsthe snit want find spark life hide organ organ hide explosive splop insteadoriginally publish dragon magazine   tsr publish boxed version game change magazine version primarily change bolotomus turn ordera revise version game publish snit,1977,1.4348,6.19453,5.61555,1.39904,2,2,8,551,0,https://cf.geekdo-images.com/lWj6akj15FzLnykdpSzerQ__original/img/Xd35_bX1GWow7NnunfO9cFUMWGA=/0x0/filters:format(jpeg)/pic483306.jpg,6854,21926,21926,1601,857,21926,21926,21926,21926,1,0,0,1,0,0,0,0
711,Elfenroads,elfenland elfenroad   player attempt travel city city map resource card gold transportation chit   player well able juggle resource visit city game end winsreimplemente     elfenland,1992,2.5,7.05959,5.71497,1.57706,2,6,10,391,0,https://cf.geekdo-images.com/jAKh32K09QcBByCFM3aXQw__original/img/Nv5lh7RiZ30BWKHPQWjciRFAd60=/0x0/filters:format(jpeg)/pic10172.jpg,4804,1629,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
712,Blood Bowl (Third Edition),blood bowl game fantasy football   basic game feature match human team orc team   ostensibly team play football   fact team take turn move block advance football field   game come plastic miniaturesthis game blood bowl series,1994,2.9814,7.54407,6.995,1.59381,2,2,12,17.15,0,https://cf.geekdo-images.com/NfmeYHtstjGoXtfIy3Cf-g__original/img/KAVGVTPR_LiPs-Ax6orQcoFsIyM=/0x0/filters:format(jpeg)/pic831373.jpg,410,288,21926,21926,92,21926,21926,21926,21926,1,1,0,0,0,0,0,0
713,Nuclear War,satirical game player represent quotmajor world powerquot attempt gain global domination annihilation strategic use propaganda nuclear weaponsintegrate     nuclear proliferation     nuclear escalation     weapon mass destruction     india rail nuclear war bonus pack   expansion india rail nuclear warthe late reprint game feature new artwork card new card     mar probe secret   million people discard pile     advanced recycling special pick carrier warhead discard pile,1965,1.4428,6.21894,5.89484,1.67813,2,6,10.66666667,3.6875,1,https://cf.geekdo-images.com/POs_qrc4JPAmqhbx4JRBuQ__original/img/ugmkD-brs94llG5ZZvJdCDhaTII=/0x0/filters:format(jpeg)/pic1488707.jpg,3099,21926,21926,21926,648,21926,21926,21926,21926,1,0,0,0,0,0,0,0
714,Talisman,game board represent fantasy land   player choose character list semistandard fantasy type barbarian wizard monk etc   objective game travel land encountering event card gather strength way   hopefully player eventually powerful travel center board endure trial crown command victory   expansion release game add new character choice new place travelpart talisman series game expansion publish game workshop ltdthe edition differ second box cover art card print black white artwork second edition edition expansionsexpande     talisman expansion set     talisman adventure     talisman dungeon     talisman timescape     talisman city     talisman dragonsalso     jewel crown     talisman second edition white dwarf   cardsreimplemente     talisman edition     talisman revise th edition,1983,2.1824,6.35398,6.03452,1.90074,2,6,9.416666667,4,0,https://cf.geekdo-images.com/GfXN7KP7ny2YU7A-zrZObA__original/img/Fycu3wnsSM1ij9Js6Op3NbWUmas=/0x0/filters:format(jpeg)/pic818904.jpg,2349,21926,21926,21926,564,21926,21926,21926,21926,1,0,0,0,0,0,0,0
715,Escape from Colditz,escape colditz vsmany semicooperative game player security officer german force escape officer nationality prisoner war pow   escape officer try acquire equipment need successful escape rope wire cutter etc security officer try hinder put solitary confinement consficate equipmentplay last predetermined length time number round   escape officer free predetermine number pow usually   win security officer winsthe game codesigne major pr reid british soldier actually successfully escape colditz second world war,1973,2.2377,6.66717,6.19025,1.45355,2,6,11.52380952,7.235294118,0,https://cf.geekdo-images.com/b0JovTV6SxgMO3DfohhFuA__original/img/MSFca6XkfL7PrVuvrTU_BdxWaaI=/0x0/filters:format(jpeg)/pic3117438.jpg,1809,21926,21926,21926,441,21926,21926,21926,21926,1,0,0,0,0,0,0,0
716,Pizza Party,pizza party quick simple variation memory child adult exciting money wager outcome player get color code pizza slice slot hold topping disc disc different topping place face table quotswitchquot one color player flip turn add slice match topping quotswitchquot reveal player trade slice player corresponding color player color revealedage  ,1987,1.2,4.95516,5.46025,1.86273,2,4,3.5,1,0,https://cf.geekdo-images.com/ca0l7iQr8yCngON6a3lVSg__original/img/GwHTlC4p7v-GL7Di2PFI9_IZEPg=/0x0/filters:format(jpeg)/pic4806386.jpg,20807,21926,21926,21926,21926,21926,21926,21926,726,0,0,0,0,0,0,0,1
718,Galaxy: The Dark Ages,galaxy dark age muchawaited sequel ahs titan arena   originally game knizias grand national derby successive change theme add chrome design   basic idea remain intact alien race end remain bet alien think end   number card starship case play alien homeworld card   soon alien ship card definitive loser say loser alien race remove new round start   alien power differ tta   version game add detail call bet chip quotstarbasesquot target opponent ship lower value,2000,2.4154,6.27078,5.69573,1.37585,2,5,11.66666667,223.4,0,https://cf.geekdo-images.com/sKlrQV0zjXLLaXtOYwbMZw__original/img/7kpvoqdBbFteGEMF6Aw8WIOFVv8=/0x0/filters:format(jpeg)/pic48671.jpg,5076,1695,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
719,Tyranno Ex,player attempt shepherd choose dinosaur everchanging environment   player attempt alter environment game round   extinction loom survive current environment   survive environment need survive round combat oppose player dinosaur,1990,2.3542,6.46624,5.69247,1.25997,2,4,12.5,96.33333333,0,https://cf.geekdo-images.com/2CRAGv5RbbovadQrTdz8DA__original/img/ZLlEae9f8uBFnxwXmBZStoSpBzk=/0x0/filters:format(jpeg)/pic243490.jpg,5122,1704,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
